,sentiment_tokens,label,text,lemmas_back_to_text,has_positive,has_negative
0,7,1,32,14,1,0
1,13,0,11,13,1,1
2,11,-1,15,19,0,1
3,3,-1,14,18,0,1
4,21,-1,23,31,0,1
5,22,0,27,35,1,1
6,26,-1,7,7,0,1
7,39,-1,28,36,0,1
8,8,0,31,12,1,1
9,14,1,37,28,1,0
10,1,-1,25,32,0,1
11,12,1,33,17,1,0
12,21,-1,23,31,0,1
13,22,0,27,35,1,1
14,3,-1,24,33,0,1
15,24,1,18,24,1,0
16,34,1,17,23,1,0
17,10,-1,2,1,0,1
18,21,-1,23,31,0,1
19,8,0,31,12,1,1
20,35,0,22,30,1,1
21,9,0,26,34,1,1
22,21,-1,23,31,0,1
23,9,0,26,34,1,1
24,32,0,6,6,1,1
25,5,-1,21,29,0,1
26,17,1,19,25,1,0
27,8,0,31,12,1,1
28,2,0,20,26,1,1
29,21,-1,23,31,0,1
30,27,-1,5,3,0,1
31,13,0,11,13,1,1
32,33,1,39,11,1,0
33,7,1,32,14,1,0
34,20,-1,43,9,0,1
35,39,-1,28,36,0,1
36,18,-1,9,40,0,1
37,38,-1,8,10,0,1
38,19,-1,16,20,0,1
39,25,1,3,2,1,0
40,13,0,11,13,1,1
41,7,1,32,14,1,0
42,16,-1,36,27,0,1
43,8,0,31,12,1,1
44,8,0,31,12,1,1
45,8,0,31,12,1,1
46,8,0,31,12,1,1
47,28,-1,42,42,0,1
48,28,-1,41,43,0,1
49,8,0,31,12,1,1
50,29,-1,4,0,0,1
51,8,0,31,12,1,1
52,4,-1,13,16,0,1
53,8,0,31,12,1,1
54,23,1,10,8,1,0
55,8,0,31,12,1,1
56,7,1,32,14,1,0
57,30,-1,40,41,0,1
58,18,-1,34,21,0,1
59,8,0,31,12,1,1
60,0,0,12,15,1,1
61,8,0,31,12,1,1
62,8,0,31,12,1,1
63,15,1,30,37,1,0
64,36,1,1,4,1,0
65,36,1,35,22,1,0
66,7,1,32,14,1,0
67,31,1,29,38,1,0
68,6,-1,0,5,0,1
69,37,1,38,39,1,0
